,PARIS,MARSEILLE,LYON,TOULOUSE,NICE,NANTES,STRASBOURG,MONTPELLIER,BORDEAUX,LILLE,RENNES,REIMS,LE HAVRE,SAINT-ETIENNE,TOULON,GRENOBLE,DIJON,ANGERS,VILLEURBANNE,LE MANS,NIMES,AIX-EN-PROVENCE,BREST,CLERMONT-FERRAND,LIMOGES,TOURS,AMIENS,METZ,PERPIGNAN,BESANCON,BOULOGNE-BILLANCOURT,ORLEANS,ROUEN,MULHOUSE,CAEN,NANCY,SAINT-PAUL,ARGENTEUIL,MONTREUIL,ROUBAIX,DUNKERQUE,TOURCOING,CRETEIL,AVIGNON,NANTERRE,POITIERS,COURBEVOIE,FORT-DE-FRANCE,VERSAILLES,VITRY-SUR-SEINE
21,579.0,101.0,217.0,235.0,233.0,593.0,589.0,45.0,406.0,762.0,663.0,602.0,707.0,177.0,150.0,183.0,390.0,555.0,219.0,563.0,0.0,93.0,848.0,238.0,331.0,486.0,692.0,605.0,174.0,401.0,578.0,492.0,670.0,493.0,694.0,557.0,2208.0,591.0,578.0,768.0,816.0,770.0,569.0,39.0,586.0,438.0,585.0,11702.0,577.0,570.0
22,638.0,26.0,251.0,322.0,147.0,681.0,589.0,125.0,499.0,809.0,747.0,644.0,777.0,226.0,61.0,183.0,421.0,638.0,252.0,641.0,93.0,0.0,937.0,311.0,419.0,565.0,746.0,625.0,227.0,415.0,638.0,559.0,735.0,491.0,768.0,575.0,2294.0,650.0,636.0,815.0,867.0,817.0,626.0,67.0,646.0,524.0,644.0,11661.0,638.0,628.0
23,504.0,950.0,764.0,702.0,1043.0,255.0,900.0,837.0,496.0,598.0,210.0,630.0,358.0,750.0,997.0,854.0,718.0,310.0,766.0,349.0,848.0,937.0,0.0,642.0,518.0,401.0,520.0,784.0,855.0,794.0,497.0,476.0,422.0,880.0,315.0,786.0,1363.0,497.0,510.0,607.0,573.0,607.0,512.0,869.0,493.0,414.0,497.0,12292.0,488.0,507.0
24,346.0,330.0,136.0,275.0,402.0,388.0,470.0,250.0,304.0,539.0,443.0,392.0,468.0,109.0,372.0,216.0,225.0,334.0,139.0,329.0,238.0,311.0,642.0,0.0,142.0,255.0,461.0,438.0,345.0,278.0,344.0,253.0,432.0,390.0,457.0,399.0,1988.0,357.0,346.0,546.0,588.0,548.0,336.0,245.0,352.0,229.0,351.0,11927.0,343.0,337.0
25,344.0,432.0,278.0,250.0,530.0,262.0,577.0,325.0,181.0,548.0,333.0,431.0,414.0,249.0,479.0,356.0,330.0,226.0,281.0,252.0,331.0,419.0,518.0,142.0,0.0,175.0,457.0,519.0,375.0,397.0,340.0,235.0,398.0,508.0,389.0,488.0,1876.0,352.0,347.0,557.0,584.0,559.0,338.0,351.0,346.0,107.0,347.0,11950.0,334.0,337.0
26,205.0,583.0,365.0,424.0,654.0,169.0,542.0,488.0,299.0,400.0,193.0,323.0,238.0,358.0,627.0,458.0,326.0,93.0,367.0,77.0,486.0,565.0,401.0,255.0,175.0,0.0,303.0,450.0,550.0,403.0,198.0,108.0,229.0,500.0,214.0,434.0,1733.0,209.0,209.0,410.0,425.0,411.0,204.0,498.0,202.0,92.0,204.0,12124.0,190.0,201.0
27,115.0,770.0,497.0,703.0,785.0,411.0,421.0,710.0,603.0,98.0,353.0,144.0,162.0,520.0,803.0,585.0,349.0,341.0,498.0,261.0,692.0,746.0,520.0,461.0,457.0,303.0,0.0,291.0,803.0,402.0,118.0,222.0,101.0,439.0,207.0,313.0,1674.0,105.0,115.0,108.0,127.0,109.0,124.0,688.0,111.0,396.0,111.0,12388.0,122.0,124.0
28,280.0,651.0,388.0,714.0,609.0,610.0,130.0,639.0,699.0,277.0,588.0,155.0,439.0,432.0,669.0,442.0,219.0,530.0,386.0,456.0,605.0,625.0,784.0,438.0,519.0,450.0,291.0,0.0,760.0,209.0,287.0,342.0,370.0,176.0,473.0,50.0,1958.0,286.0,273.0,276.0,344.0,278.0,272.0,585.0,290.0,519.0,286.0,12277.0,296.0,277.0
29,688.0,213.0,375.0,155.0,371.0,612.0,756.0,130.0,365.0,884.0,698.0,735.0,786.0,328.0,253.0,357.0,541.0,596.0,378.0,627.0,174.0,227.0,855.0,345.0,375.0,550.0,803.0,760.0,0.0,564.0,685.0,586.0,763.0,662.0,764.0,715.0,2217.0,698.0,688.0,891.0,931.0,893.0,679.0,210.0,693.0,478.0,692.0,11586.0,682.0,679.0
30,327.0,442.0,189.0,541.0,405.0,572.0,195.0,439.0,575.0,434.0,584.0,267.0,502.0,237.0,459.0,232.0,77.0,496.0,186.0,444.0,401.0,415.0,794.0,278.0,397.0,403.0,402.0,209.0,564.0,0.0,331.0,318.0,438.0,112.0,519.0,159.0,2064.0,338.0,322.0,436.0,499.0,439.0,315.0,378.0,338.0,439.0,335.0,12069.0,337.0,319.0
31,7.0,661.0,393.0,585.0,687.0,334.0,404.0,595.0,493.0,208.0,301.0,137.0,170.0,411.0,696.0,484.0,265.0,257.0,394.0,177.0,578.0,638.0,497.0,344.0,340.0,198.0,118.0,287.0,685.0,331.0,0.0,105.0,107.0,394.0,193.0,289.0,1733.0,12.0,13.0,217.0,246.0,219.0,16.0,577.0,8.0,288.0,7.0,12271.0,9.0,12.0
32,109.0,580.0,328.0,481.0,625.0,270.0,439.0,504.0,391.0,313.0,267.0,215.0,218.0,335.0,619.0,422.0,242.0,190.0,329.0,126.0,492.0,559.0,476.0,253.0,235.0,108.0,222.0,342.0,586.0,318.0,105.0,0.0,178.0,405.0,217.0,329.0,1770.0,117.0,112.0,322.0,350.0,324.0,105.0,495.0,111.0,189.0,112.0,12172.0,99.0,103.0
33,111.0,757.0,496.0,649.0,792.0,314.0,495.0,682.0,526.0,194.0,252.0,214.0,69.0,509.0,794.0,588.0,373.0,249.0,497.0,172.0,670.0,735.0,422.0,432.0,398.0,229.0,101.0,370.0,763.0,438.0,107.0,178.0,0.0,496.0,107.0,381.0,1625.0,100.0,116.0,204.0,201.0,205.0,123.0,672.0,100.0,321.0,103.0,12347.0,103.0,120.0
34,389.0,518.0,291.0,650.0,450.0,669.0,97.0,533.0,687.0,445.0,672.0,294.0,563.0,341.0,526.0,312.0,180.0,591.0,288.0,532.0,493.0,491.0,880.0,390.0,508.0,500.0,439.0,176.0,662.0,112.0,394.0,405.0,496.0,0.0,588.0,133.0,2113.0,398.0,382.0,446.0,513.0,448.0,378.0,465.0,400.0,544.0,396.0,12118.0,402.0,382.0
35,199.0,788.0,544.0,635.0,842.0,236.0,595.0,700.0,483.0,292.0,156.0,318.0,49.0,549.0,829.0,639.0,448.0,191.0,546.0,137.0,694.0,768.0,315.0,457.0,389.0,214.0,207.0,473.0,764.0,519.0,193.0,217.0,107.0,588.0,0.0,481.0,1553.0,191.0,205.0,302.0,283.0,302.0,210.0,702.0,188.0,293.0,192.0,12333.0,186.0,205.0
